nohup: no se tendrá en cuenta la entrada
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: jfphlorecti (scigeo). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.5
wandb: Run data is saved locally in /home/tidop/projects/Noisy-Student/wandb/run-20241105_101647-p4ighlt6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Student Training Alabama ResUNet
wandb: ⭐️ View project at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training
wandb: 🚀 View run at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training/runs/p4ighlt6
MSE Loss: 1.1020, Lovasz Loss: 1.0347, BCE Loss: 1.0320
MSE Loss: 1.2581, Lovasz Loss: 1.0586, BCE Loss: 1.0676
MSE Loss: 1.0752, Lovasz Loss: 1.1551, BCE Loss: 1.1328
MSE Loss: 1.1936, Lovasz Loss: 1.0493, BCE Loss: 1.0332
MSE Loss: 1.1922, Lovasz Loss: 1.0726, BCE Loss: 1.0265
MSE Loss: 1.2230, Lovasz Loss: 1.0195, BCE Loss: 1.0228
MSE Loss: 1.2818, Lovasz Loss: 1.0265, BCE Loss: 1.0231
MSE Loss: 1.1222, Lovasz Loss: 1.0282, BCE Loss: 1.0301
MSE Loss: 1.4506, Lovasz Loss: 1.0430, BCE Loss: 1.0418
MSE Loss: 1.0536, Lovasz Loss: 1.1472, BCE Loss: 1.1001
MSE Loss: 1.1199, Lovasz Loss: 1.0292, BCE Loss: 1.0259
MSE Loss: 1.3070, Lovasz Loss: 1.0204, BCE Loss: 1.0292
MSE Loss: 1.1260, Lovasz Loss: 1.0164, BCE Loss: 1.0557
MSE Loss: 1.2321, Lovasz Loss: 1.0126, BCE Loss: 1.0198
MSE Loss: 1.1506, Lovasz Loss: 1.0310, BCE Loss: 1.0303
MSE Loss: 0.9731, Lovasz Loss: 1.0581, BCE Loss: 1.0920
MSE Loss: 1.3473, Lovasz Loss: 1.0210, BCE Loss: 1.0162
MSE Loss: 1.1973, Lovasz Loss: 1.0233, BCE Loss: 1.0253
MSE Loss: 1.1481, Lovasz Loss: 1.0285, BCE Loss: 1.0287
MSE Loss: 1.1553, Lovasz Loss: 1.0150, BCE Loss: 1.0227
MSE Loss: 1.1211, Lovasz Loss: 1.0605, BCE Loss: 1.1312
MSE Loss: 1.2868, Lovasz Loss: 1.0997, BCE Loss: 1.0262
MSE Loss: 1.0576, Lovasz Loss: 1.0236, BCE Loss: 1.0381
MSE Loss: 1.0049, Lovasz Loss: 1.0514, BCE Loss: 1.0576
MSE Loss: 1.1817, Lovasz Loss: 1.0253, BCE Loss: 1.1054
MSE Loss: 1.0820, Lovasz Loss: 1.0235, BCE Loss: 1.0234
MSE Loss: 1.0323, Lovasz Loss: 1.0145, BCE Loss: 1.0217
MSE Loss: 1.1660, Lovasz Loss: 1.0339, BCE Loss: 1.1202
MSE Loss: 0.9756, Lovasz Loss: 1.0297, BCE Loss: 1.0342
MSE Loss: 1.0464, Lovasz Loss: 1.0173, BCE Loss: 1.0249
MSE Loss: 1.1877, Lovasz Loss: 1.0181, BCE Loss: 1.0512
MSE Loss: 1.1757, Lovasz Loss: 1.0200, BCE Loss: 1.0216
